# 4543.147988 sec
max_depth,max_features,n_estimators,mean_test_score
10.0,log2,1000.0,0.9428000000000001
10.0,0.1,1000.0,0.9427999999999999
10.0,log2,500.0,0.9412
10.0,0.1,500.0,0.9408
10.0,sqrt,1000.0,0.9388
5.0,0.1,500.0,0.9372000000000001
10.0,sqrt,500.0,0.9366000000000001
5.0,log2,500.0,0.9356
5.0,log2,1000.0,0.9344000000000001
10.0,0.1,100.0,0.9342
5.0,0.1,1000.0,0.9339999999999999
10.0,sqrt,100.0,0.9334
5.0,sqrt,1000.0,0.9332
5.0,sqrt,500.0,0.9312000000000001
5.0,0.1,100.0,0.9312000000000001
5.0,log2,100.0,0.9308000000000002
10.0,log2,100.0,0.929
3.0,0.1,1000.0,0.9276000000000002
5.0,sqrt,100.0,0.9232000000000001
3.0,0.1,500.0,0.922
3.0,log2,1000.0,0.922
3.0,0.1,100.0,0.9216
3.0,log2,500.0,0.9208000000000001
3.0,sqrt,1000.0,0.9200000000000002
3.0,sqrt,100.0,0.9180000000000001
3.0,log2,100.0,0.9179999999999999
3.0,sqrt,500.0,0.9171999999999999
10.0,0.5,100.0,0.9120000000000001
5.0,0.5,500.0,0.9096
5.0,0.5,100.0,0.9087999999999999
5.0,0.5,1000.0,0.9084000000000001
10.0,0.5,500.0,0.9081999999999999
10.0,0.5,1000.0,0.9078000000000002
3.0,0.5,500.0,0.9012
3.0,0.5,1000.0,0.8972
3.0,0.5,100.0,0.8964000000000001
