ID	Class	Mean	stdev	Predicted_0.38	Median	score_0	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10	score_11	score_12	score_13	score_14	score_15	score_16	score_17	score_18	score_19	score_20	score_21	score_22	score_23	score_24	score_25	score_26	score_27	score_28	score_29	score_30	score_31	score_32	score_33	score_34	score_35	score_36	score_37	score_38	score_39	score_40	score_41	score_42	score_43	score_44	score_45	score_46	score_47	score_48	score_49	score_50	score_51	score_52	score_53	score_54	score_55	score_56	score_57	score_58	score_59	score_60	score_61	score_62	score_63	score_64	score_65	score_66	score_67	score_68	score_69	score_70	score_71	score_72	score_73	score_74	score_75	score_76	score_77	score_78	score_79	score_80	score_81	score_82	score_83	score_84	score_85	score_86	score_87	score_88	score_89	score_90	score_91	score_92	score_93	score_94	score_95	score_96	score_97	score_98	score_99
candida_auris.final	0	0.3656604957687612	0.022009472510509356	0	0.36645	0.36	0.3745357142857143	0.3838185703185703	0.33011303418803417	0.3664	0.3400833333333333	0.36865000000000003	0.37935	0.33454236111111113	0.3742	0.396650641025641	0.3837194805194805	0.3677238095238095	0.3559166666666666	0.34301250000000005	0.3680818181818182	0.3698472222222222	0.37418888888888885	0.3446666666666666	0.3449666666666667	0.3920605727605728	0.38609956709956716	0.367125	0.3542690476190476	0.3553	0.359	0.359	0.3509325396825396	0.32840909090909093	0.3549833333333334	0.3994488095238095	0.38170146520146525	0.3578571428571428	0.36710000000000004	0.33499999999999996	0.3581666666666667	0.35588240740740745	0.4329893267651888	0.3486030020703934	0.3529318181818182	0.39616666666666667	0.40878869047619043	0.34751388888888884	0.3729555555555556	0.3511325757575757	0.36734999999999995	0.35176904761904765	0.3971111111111111	0.39060712295367467	0.38035	0.3182415966386554	0.3786666666666667	0.38506666666666667	0.3484666666666667	0.3817837301587302	0.356047619047619	0.3802023809523809	0.433	0.3728333333333333	0.3690811688311688	0.3520204545454546	0.3701666666666667	0.37551666666666667	0.35239523809523815	0.34725555555555554	0.3168435897435897	0.3837269230769231	0.36975	0.33166666666666667	0.35424918921658055	0.3758333333333333	0.35673809523809524	0.37825	0.38113095238095235	0.3440000000000001	0.334	0.3127820512820513	0.35582142857142857	0.3640333333333333	0.35852083333333334	0.37924761904761906	0.3764333333333334	0.3935	0.3637500000000001	0.37793333333333334	0.3665	0.3567142857142857	0.37795	0.34791666666666665	0.39657291666666666	0.3583095238095238	0.320625	0.364940303657695	0.38705	0.3494444444444445	0.393	0.37788888888888894	0.36373419913419913	0.3947514328063241	0.360625
candida_orthopsilosis.final	0	0.7433421829497477	0.020343437300794274	1	0.7428607142857143	0.7416333333333334	0.777	0.764202380952381	0.75	0.73065	0.7393333333333333	0.7251106060606061	0.720807142857143	0.7464583333333333	0.7657166666666667	0.7140416666666668	0.7160714285714286	0.7275738095238096	0.7399166666666667	0.7255	0.7664722222222222	0.7521666666666667	0.7353500000000001	0.741335185185185	0.7536333333333333	0.7434000000000001	0.747797619047619	0.7353333333333333	0.7176166666666667	0.7485794871794872	0.7331428571428571	0.7465424242424245	0.7534166666666667	0.8352424242424243	0.7480638278388279	0.749	0.754	0.760777777777778	0.7554761904761905	0.7258714285714286	0.7389666666666667	0.7354788359788359	0.730691890867753	0.7204250000000001	0.7246333333333334	0.7313000000000001	0.7267142857142858	0.7455	0.7209178571428572	0.7463666666666665	0.7551666666666667	0.7163476190476191	0.7703	0.7492738095238096	0.7658210317460318	0.7274848484848484	0.7532051282051282	0.7394023809523809	0.7455277777777778	0.7376	0.7610625	0.746	0.736	0.7257333333333333	0.7146692640692641	0.7505921052631579	0.7376	0.7507121212121212	0.7482738095238095	0.7288333333333333	0.7423214285714286	0.7402333333333334	0.7252927350427351	0.7260833333333333	0.7225769230769231	0.7584242424242423	0.7457102564102565	0.7652380952380952	0.7597833333333333	0.7169166666666666	0.7145555555555555	0.7126055806938162	0.7417879901960784	0.7383166666666666	0.7518488095238096	0.7241595238095238	0.7445	0.7458888888888889	0.75875	0.7466527777777778	0.75895	0.7750976190476191	0.740161111111111	0.7438095238095238	0.7350166666666667	0.7512499999999999	0.7203333333333333	0.7529357142857143	0.756	0.733360119047619	0.7319500000000001	0.754531746031746	0.7375925770308123	0.7495	0.84425
clavispora_lusitaniae.final	0	0.2905645725823286	0.01873690572043192	0	0.29139262820512823	0.297	0.30148571428571425	0.2902301587301587	0.2862916666666666	0.2918352564102564	0.2708666666666667	0.2943939393939394	0.2986428571428571	0.28611458333333334	0.3069666666666667	0.2930839743589744	0.28638059163059165	0.2782	0.30005000000000004	0.2765172619047619	0.29073333333333334	0.29288986928104577	0.2732119047619048	0.2656309523809524	0.3015099358974359	0.30852023809523815	0.26945714285714284	0.27099	0.2991648809523809	0.27685000000000004	0.29033333333333333	0.3253465909090909	0.2625214285714286	0.2956019480519481	0.302506684981685	0.3255218253968254	0.2990166666666667	0.28805714285714284	0.2918984126984127	0.26255555555555554	0.2885	0.3016407407407408	0.3071559934318555	0.2936309523809523	0.2832651515151515	0.2800916666666667	0.28	0.2943	0.2699	0.28979090909090904	0.2959	0.2669761904761905	0.31347619047619046	0.285	0.29445000000000005	0.26998809523809525	0.29595	0.2879083333333334	0.29418813813813816	0.27523928571428574	0.35266666666666663	0.29234523809523816	0.27410526315789474	0.2730944444444444	0.33345114942528736	0.3510073593073594	0.28279166666666666	0.2952666666666667	0.30978809523809525	0.30378055555555555	0.274	0.2794583333333333	0.280797619047619	0.23021929824561402	0.2896991892165805	0.30175	0.3154642857142857	0.29095	0.29473809523809524	0.29017948717948716	0.29480555555555554	0.28852068764568767	0.29672582972582967	0.29020238095238093	0.3030970575318402	0.2706476190476191	0.2838	0.31407142857142856	0.28361764705882353	0.28816428571428576	0.3063202898550725	0.3094166666666666	0.2919634920634921	0.2740833333333333	0.29627380952380955	0.29913636363636364	0.22725	0.2967418909592823	0.3086859649122807	0.2890833333333333	0.2927666666666667	0.2975424603174603	0.2867008658008658	0.2531514328063241	0.28040595238095234
hanseniaspora_uvarum.final	0	0.20258314799485239	0.014152149914955283	0	0.20083333333333336	0.1948	0.21966666666666668	0.22283333333333336	0.21466666666666664	0.18686666666666668	0.21555263157894736	0.19886060606060604	0.19737878787878788	0.22011111111111112	0.2006666666666667	0.20416666666666666	0.1885	0.185	0.23325	0.20842619047619046	0.183	0.208	0.1948542780748663	0.1977857142857143	0.21033333333333334	0.24275656565656567	0.19755882352941176	0.18103999999999998	0.21180000000000002	0.198775	0.191	0.201	0.198	0.185	0.193625	0.203125	0.21042424242424243	0.188	0.197	0.187	0.198	0.1954345238095238	0.19433333333333333	0.17	0.1931	0.19005000000000002	0.20933333333333334	0.19483333333333333	0.203	0.21225	0.1827	0.21701666666666666	0.19175	0.18966666666666665	0.19822222222222222	0.22650000000000003	0.2058888888888889	0.2011142857142857	0.20398253968253968	0.20564285714285713	0.21583333333333332	0.209	0.19818218623481784	0.2223095238095238	0.18130721003134795	0.20966666666666667	0.24659999999999999	0.225	0.189	0.19544444444444445	0.19071428571428573	0.21125	0.22308333333333333	0.1982	0.1920769230769231	0.2025	0.182	0.218	0.21114761904761906	0.2205	0.231	0.21181818181818182	0.2170625	0.18891666666666668	0.194	0.19188095238095237	0.20526050420168068	0.214	0.2043333333333333	0.19650000000000004	0.18	0.2051111111111111	0.20769230769230768	0.207	0.19265340909090908	0.1797	0.19916666666666666	0.20941666666666667	0.1961	0.2313333333333333	0.20165151515151514	0.20795	0.2064166666666667	0.19139285714285714	0.1925
kluyveromyces_lactis.final	0	0.007676699202843941	0.0033904118197145804	0	0.007323611111111111	0.006	0.011	0.003	0.01	0.0	0.003	0.007	0.011	0.01	0.009	0.008025641025641026	0.00705	0.004	0.007071428571428571	0.005	0.012	0.004	0.006	0.005	0.01	0.006045454545454545	0.008	0.005	0.008	0.006285714285714286	0.003	0.002	0.004	0.021	0.007	0.007125	0.009	0.01	0.006	0.009166666666666668	0.009	0.012	0.011	0.008	0.009	0.0055	0.016	0.004	0.006026315789473684	0.00809090909090909	0.006	0.014	0.006	0.006	0.01	0.007035714285714286	0.008	0.004	0.007522222222222222	0.008	0.006	0.008	0.009	0.01	0.004	0.01	0.010285714285714285	0.003	0.006	0.004	0.008	0.011	0.014	0.002052631578947368	0.007	0.007	0.006	0.009	0.008047619047619048	0.008	0.005	0.005	0.005	0.00925	0.0055	0.005	0.015	0.013	0.009	0.006	0.005	0.011125	0.0030277777777777777	0.01	0.005	0.012199999999999999	0.009125	0.011111111111111112	0.003	0.005	0.007	0.008	0.01	0.01	0.015
kluyveromyces_marxianus.final	0	0.029946508388833382	0.0061714205663228145	0	0.03	0.036	0.016	0.022	0.030333333333333334	0.036	0.022	0.038	0.032	0.029	0.035	0.029	0.03	0.02604	0.035333333333333335	0.03	0.029	0.028	0.0385	0.037	0.033	0.033	0.03025	0.027	0.029	0.038	0.026999999999999996	0.029	0.0315	0.036	0.032320634920634916	0.026	0.03	0.0246	0.029	0.03274166666666667	0.031	0.01704	0.024	0.026	0.031	0.02	0.03	0.03325	0.028	0.027	0.03	0.018	0.035	0.022	0.022	0.035	0.023	0.028	0.029133333333333334	0.042	0.037	0.041	0.028	0.029371794871794872	0.027	0.0362	0.025	0.03	0.038	0.023	0.018	0.038	0.029	0.04	0.025	0.028	0.04	0.0265	0.038	0.033	0.025	0.03802083333333334	0.036	0.027	0.031	0.037	0.031	0.027	0.015	0.0322	0.024	0.028	0.0241	0.038	0.037	0.033	0.034	0.039	0.021	0.021	0.043	0.023125	0.032090909090909094	0.025	0.024
metschnikowia_arizonensis.final	0	0.11578382183219497	0.01594777096924114	0	0.11585416666666667	0.1061857142857143	0.11703333333333334	0.11358225806451613	0.10800252100840337	0.13203333333333336	0.09771428571428571	0.11145356037151702	0.11722222222222223	0.11080303030303029	0.12063675213675214	0.10586190476190475	0.10665833333333333	0.11740666666666669	0.1104	0.10577142857142856	0.115021918767507	0.10705765488991296	0.10721428571428572	0.11476671842650105	0.1115	0.12143227513227514	0.12329166666666667	0.09659090909090909	0.11082440476190476	0.1263	0.1141095238095238	0.1115111111111111	0.11551666666666667	0.1185	0.11786666666666666	0.12488333333333333	0.09385	0.11823383838383839	0.09825	0.10246083959899752	0.10774136321195145	0.09686904761904763	0.1176111111111111	0.1441605339105339	0.0991861111111111	0.12020396825396826	0.11722549019607843	0.1332371794871795	0.10791648351648352	0.1285859649122807	0.12048690476190477	0.12367500000000001	0.1177	0.1028051948051948	0.096	0.10634285714285716	0.11570833333333333	0.12169948240165633	0.13797549019607847	0.09504761904761903	0.1267051282051282	0.12574334733893555	0.11139761904761905	0.12681068376068375	0.22645757575757577	0.12340000000000001	0.08705656565656567	0.10777884615384616	0.10984670329670328	0.10848199707269475	0.09682142857142857	0.1185	0.1262	0.09459841269841268	0.12792540792540794	0.124	0.12275	0.1226608187134503	0.123312295751634	0.13022222222222224	0.11617424242424242	0.11982083333333332	0.12780952380952382	0.11966666666666666	0.12691725955204217	0.116	0.11969380619380621	0.10466666666666666	0.11248333333333332	0.12653333333333333	0.10493452380952381	0.10805714285714287	0.14222692307692308	0.10541978021978023	0.10773333333333333	0.13774126984126983	0.0838761904761905	0.11866666666666666	0.11878712121212122	0.11366666666666665	0.11626190476190477	0.11898874458874462	0.11198306595365419	0.11547884012539185	0.104
metschnikowia_drakensbergensis.final	0	0.08319986845384991	0.014996860038285242	0	0.08201234550473682	0.08110607425607426	0.08608333333333335	0.07739015151515151	0.08753035714285715	0.07385	0.07951111111111112	0.08551252440370088	0.08153374033374033	0.09216764705882353	0.07585739348370928	0.08522619047619047	0.09134117364117364	0.08322104575163398	0.0882	0.07029322344322345	0.09290038515406164	0.0685004329004329	0.08682631578947368	0.06949358974358975	0.07110536510590858	0.07398333333333332	0.07694439560439562	0.08646862745098041	0.07547162804515746	0.07927777777777777	0.09182646520146522	0.12896349206349209	0.07479799783549784	0.07575	0.07919444444444446	0.0837053724053724	0.07421666666666667	0.07108798511430091	0.08379722222222223	0.07576859048810268	0.08881692307692308	0.09152333333333335	0.0789875	0.07100424242424241	0.08694515599343187	0.14032896825396823	0.09344027777777776	0.09122584541062802	0.0912406015037594	0.08643333333333333	0.08427146464646465	0.07822619047619048	0.0831638795986622	0.08593515325670499	0.0917447391688771	0.10080726190476189	0.09372770562770563	0.08316666666666667	0.07285555555555556	0.08526422466422466	0.08081111111111111	0.0886935515873016	0.09614285714285714	0.08899848484848485	0.17138095238095238	0.07059821428571428	0.07433960196779964	0.07297142857142858	0.07156593406593408	0.07133514492753623	0.07361362502937101	0.07953740259740259	0.07917424242424244	0.04125	0.090925	0.07086190476190476	0.08641109674639086	0.08086854066985646	0.08234963924963926	0.07556709956709957	0.09870723622782449	0.08806150793650792	0.08858882783882784	0.07562424242424243	0.07597023809523809	0.07584948717948717	0.080125	0.0610976536263301	0.07208089133089134	0.08676785714285713	0.06641372247823861	0.08747549019607843	0.10028928571428572	0.07319896825396825	0.09270375816993465	0.08805230179028134	0.05651785714285715	0.08470833333333333	0.08167505175983437	0.07880143532590342	0.07265565476190476	0.07696753246753246	0.08482136185875316	0.09370757575757577	0.09371666666666667
spathaspora_arborariae.final	0	0.8299633995457305	0.014118948599620772	1	0.8309166666666667	0.8486416666666666	0.826	0.8235071428571429	0.8438888888888889	0.8193333333333334	0.8065	0.8363947368421052	0.8340952380952381	0.8398333333333333	0.8335	0.829	0.82675	0.828	0.8228333333333334	0.8578	0.843	0.83	0.8338333333333332	0.8354	0.816	0.831	0.8212	0.8094599567099567	0.8395	0.8308333333333334	0.8069	0.8306666666666667	0.8319444444444445	0.8636666666666667	0.843	0.8365416666666667	0.8314473684210526	0.821	0.8317666666666667	0.8246428571428571	0.8339655172413794	0.8355833333333332	0.848	0.8291666666666666	0.8424318181818181	0.844875	0.83925	0.835	0.8016749999999999	0.8346666666666667	0.8327857142857142	0.8188	0.8360714285714286	0.8248333333333334	0.8350625	0.8468928571428571	0.841	0.843	0.8125	0.8115	0.8532000000000001	0.8345	0.8520416666666666	0.8289	0.8285	0.848	0.8183333333333332	0.806	0.81	0.8006	0.8058333333333334	0.851	0.823125	0.809	0.849	0.8200666666666667	0.8419642857142858	0.8303333333333334	0.8342333333333334	0.8065984126984126	0.84075	0.8186571428571429	0.8357029239766082	0.8245	0.839625	0.8422857142857143	0.8285	0.8255	0.8108888888888889	0.84	0.8196	0.8150178571428572	0.817	0.850663986013986	0.8161666666666666	0.841	0.8075	0.839	0.824	0.8187380952380953	0.837	0.8251428571428571	0.8300909090909091	0.7982400793650792	0.8646
yHMPu5000026137_ambrosiozyma_ambrosiae_160519.final	0	0.4801689135894705	0.02071276012851279	1	0.4795150291737248	0.47277777777777774	0.4986666666666667	0.496734632034632	0.49642857142857144	0.46458809523809524	0.45569047619047615	0.49359335839599	0.45262904040404045	0.4699666666666667	0.472275641025641	0.45739285714285716	0.49176666666666663	0.5220995238095238	0.48425384615384615	0.4849880952380952	0.49949695108812764	0.46708333333333335	0.46298809523809525	0.5004821428571429	0.4467	0.4855833333333333	0.47338095238095235	0.4805238095238096	0.46082916666666673	0.4616523809523809	0.46529583333333335	0.46585119047619056	0.4564	0.5459444444444443	0.4810833333333333	0.4985	0.49096666666666666	0.49759595959595954	0.4600119047619048	0.5155714285714286	0.48787784992784994	0.5077583333333334	0.47395634920634916	0.47943005834744956	0.482735236985237	0.4881111111111111	0.4954944295900178	0.4778	0.4732640873015872	0.504119298245614	0.4763067460317461	0.4693	0.48	0.475559163059163	0.4766875	0.5036	0.5000738095238094	0.48445	0.4575	0.48394642857142856	0.43460000000000004	0.48939215686274506	0.4668333333333333	0.49244444444444446	0.46781666666666666	0.4308166666666667	0.4616397435897435	0.4685	0.50446336996337	0.45002886002886006	0.46666071428571426	0.47039583333333335	0.4625036231884058	0.48254166666666665	0.4923598484848485	0.48175	0.4951	0.485975	0.4683979166666667	0.4928988095238096	0.5130571428571428	0.537172619047619	0.4610972222222222	0.4810833333333333	0.4647520358868184	0.46576666666666666	0.46247142857142853	0.4687179144385027	0.4803333333333334	0.4823059523809523	0.4762301587301587	0.49879166666666663	0.5205555555555555	0.47907545787545786	0.46715357142857145	0.46514069264069263	0.493	0.46718333333333334	0.4643371212121212	0.47959999999999997	0.4827571428571429	0.47636666666666666	0.48713257575757574	0.43134453781512605	0.5385833333333334
