Species	Class	OG0000000	OG0000005	OG0000006	OG0000014	OG0000017	OG0000026	OG0000030	OG0000035	OG0000042	OG0000054	OG0000059	OG0000069	OG0000071	OG0000081	OG0000086	OG0000096	OG0000109	OG0000122	OG0000123	OG0000143	OG0000147	OG0000160	OG0000168	OG0000173	OG0000214	OG0000217	OG0000237	OG0000291	OG0000297	OG0000299	OG0000310	OG0000484	OG0000597	OG0000606	OG0000746	OG0000750	OG0000889	OG0001663	OG0002853	OG0003209	OG0003514	OG0004044	OG0004098	OG0004172	OG0005114	OG0005246	OG0005306	OG0007118	OG0007523	OG0008019
candida_auris.final	0	12.0	5.0	4.0	1.0	3.0	4.0	2.0	1.0	6.0	3.0	3.0	4.0	2.0	0.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
candida_orthopsilosis.final	0	17.0	6.0	8.0	4.0	8.0	4.0	5.0	6.0	4.0	3.0	3.0	5.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	2.0	5.0	6.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
clavispora_lusitaniae.final	0	4.0	5.0	9.0	1.0	3.0	5.0	3.0	1.0	3.0	3.0	3.0	4.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hanseniaspora_uvarum.final	0	6.0	3.0	2.0	4.0	7.0	3.0	10.0	2.0	1.0	3.0	3.0	2.0	5.0	1.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
kluyveromyces_lactis.final	0	2.0	5.0	3.0	3.0	2.0	2.0	1.0	1.0	3.0	4.0	3.0	1.0	4.0	2.0	3.0	3.0	5.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
kluyveromyces_marxianus.final	0	2.0	5.0	5.0	3.0	2.0	3.0	2.0	1.0	5.0	4.0	3.0	1.0	4.0	4.0	2.0	4.0	5.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
metschnikowia_arizonensis.final	0	5.0	4.0	2.0	0.0	3.0	7.0	0.0	1.0	3.0	2.0	3.0	3.0	4.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metschnikowia_drakensbergensis.final	0	1.0	4.0	3.0	0.0	3.0	5.0	0.0	1.0	3.0	2.0	3.0	4.0	4.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spathaspora_arborariae.final	0	13.0	8.0	20.0	4.0	6.0	4.0	5.0	2.0	12.0	2.0	3.0	3.0	1.0	4.0	2.0	3.0	5.0	5.0	20.0	3.0	4.0	2.0	9.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000026137_ambrosiozyma_ambrosiae_160519.final	0	11.0	11.0	3.0	6.0	2.0	3.0	5.0	5.0	2.0	3.0	3.0	8.0	3.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	6.0	3.0	1.0	5.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
